Age of Tree,Maple,Oak,Sycamore,Pine,Fir,Elm,Willow,Magnolia,Birch,Tulip,Butternut,Cedar
0,1.9,1.3,2.7,0.7,1.4,1.9,2.7,1.9,1.9,1.9,1.9,1
1,2.7,1.6,4,0.9,2.2,2.7,4,2.7,2.7,2.7,2.7,1.5
2,3.5,2,5.4,1.1,3.1,3.5,5.4,3.5,3.5,3.5,3.5,2
3,4.3,2.4,6.9,1.4,4.1,4.3,6.9,4.3,4.3,4.3,4.3,2.5
4,5.2,2.8,8.5,1.6,5.2,5.2,8.5,5.2,5.2,5.2,5.2,3.1
5,6.1,3.2,10.1,1.9,6.4,6.1,10.1,6.1,6.1,6.1,6.1,3.7
6,7.1,3.7,11.8,2.2,7.6,7.1,11.8,7.1,7.1,7.1,7.1,4.4
7,8.1,4.1,13.6,2.5,8.9,8.1,13.6,8.1,8.1,8.1,8.1,5.1
8,9.1,4.6,15.5,2.8,10.2,9.1,15.5,9.1,9.1,9.1,9.1,5.8
9,10.2,5,17.4,3.1,11.7,10.2,17.4,10.2,10.2,10.2,10.2,6.6
10,11.2,5.5,19.3,3.5,13.2,11.2,19.3,11.2,11.2,11.2,11.2,7.4
11,12.3,6,21.3,3.8,14.7,12.3,21.3,12.3,12.3,12.3,12.3,8.2
12,13.5,6.5,23.3,4.2,16.3,13.5,23.3,13.5,13.5,13.5,13.5,9.1
13,14.6,7,25.4,4.6,17.9,14.6,25.4,14.6,14.6,14.6,14.6,9.9
14,15.8,7.5,27.5,4.9,19.6,15.8,27.5,15.8,15.8,15.8,15.8,10.8
15,16.9,8.1,29.7,5.3,21.4,16.9,29.7,16.9,16.9,16.9,16.9,11.8
16,18.1,8.6,31.9,5.7,23.2,18.1,31.9,18.1,18.1,18.1,18.1,12.7
17,19.4,9.1,34.1,6.1,25,19.4,34.1,19.4,19.4,19.4,19.4,13.7
18,20.6,9.7,36.3,6.6,26.9,20.6,36.3,20.6,20.6,20.6,20.6,14.7
19,21.9,10.2,38.6,7,28.8,21.9,38.6,21.9,21.9,21.9,21.9,15.7
20,23.2,10.8,41,7.4,30.8,23.2,41,23.2,23.2,23.2,23.2,16.7
21,24.4,11.4,43.3,7.9,32.8,24.4,43.3,24.4,24.4,24.4,24.4,17.8
22,25.8,12,45.7,8.3,34.9,25.8,45.7,25.8,25.8,25.8,25.8,18.9
23,27.1,12.5,48.1,8.8,37,27.1,48.1,27.1,27.1,27.1,27.1,20
24,28.4,13.1,50.6,9.2,39.1,28.4,50.6,28.4,28.4,28.4,28.4,21.1
25,29.8,13.7,53.1,9.7,41.3,29.8,53.1,29.8,29.8,29.8,29.8,22.2
26,31.2,14.3,55.6,10.2,43.5,31.2,55.6,31.2,31.2,31.2,31.2,23.4
27,32.5,15,58.1,10.7,45.7,32.5,58.1,32.5,32.5,32.5,32.5,24.6
28,33.9,15.6,60.7,11.2,48,33.9,60.7,33.9,33.9,33.9,33.9,25.8
29,35.3,16.2,63.3,11.7,50.3,35.3,63.3,35.3,35.3,35.3,35.3,27
30,36.8,16.8,65.9,12.2,52.7,36.8,65.9,36.8,36.8,36.8,36.8,28.2
31,38.2,17.5,68.5,12.7,55.1,38.2,68.5,38.2,38.2,38.2,38.2,29.5
32,39.7,18.1,71.2,13.3,57.5,39.7,71.2,39.7,39.7,39.7,39.7,30.7
33,41.1,18.7,73.8,13.8,59.9,41.1,73.8,41.1,41.1,41.1,41.1,32
34,42.6,19.4,76.5,14.3,62.4,42.6,76.5,42.6,42.6,42.6,42.6,33.3
35,44.1,20,79.3,14.9,64.9,44.1,79.3,44.1,44.1,44.1,44.1,34.7
36,45.6,20.7,82,15.5,67.5,45.6,82,45.6,45.6,45.6,45.6,36
37,47.1,21.4,84.8,16,70.1,47.1,84.8,47.1,47.1,47.1,47.1,37.3
38,48.6,22,87.6,16.6,72.7,48.6,87.6,48.6,48.6,48.6,48.6,38.7
39,50.2,22.7,90.4,17.2,75.3,50.2,90.4,50.2,50.2,50.2,50.2,40.1
40,51.7,23.4,93.2,17.7,78,51.7,93.2,51.7,51.7,51.7,51.7,41.5
41,53.3,24.1,96.1,18.3,80.7,53.3,96.1,53.3,53.3,53.3,53.3,42.9
42,54.8,24.8,99,18.9,83.4,54.8,99,54.8,54.8,54.8,54.8,44.3
43,56.4,25.4,101.9,19.5,86.2,56.4,101.9,56.4,56.4,56.4,56.4,45.8
44,58,26.1,104.8,20.1,89,58,104.8,58,58,58,58,47.2
45,59.6,26.8,107.7,20.7,91.8,59.6,107.7,59.6,59.6,59.6,59.6,48.7
46,61.2,27.6,110.7,21.3,94.7,61.2,110.7,61.2,61.2,61.2,61.2,50.2
47,62.8,28.3,113.6,22,97.5,62.8,113.6,62.8,62.8,62.8,62.8,51.7
48,64.5,29,116.6,22.6,100.4,64.5,116.6,64.5,64.5,64.5,64.5,53.2
49,66.1,29.7,119.6,23.2,103.4,66.1,119.6,66.1,66.1,66.1,66.1,54.8
50,67.8,30.4,122.7,23.9,106.3,67.8,122.7,67.8,67.8,67.8,67.8,56.3
51,69.4,31.1,125.7,24.5,109.3,69.4,125.7,69.4,69.4,69.4,69.4,57.9
52,71.1,31.9,128.8,25.2,112.3,71.1,128.8,71.1,71.1,71.1,71.1,59.4
53,72.8,32.6,131.8,25.8,115.4,72.8,131.8,72.8,72.8,72.8,72.8,61
54,74.5,33.4,134.9,26.5,118.4,74.5,134.9,74.5,74.5,74.5,74.5,62.6
55,76.2,34.1,138,27.2,121.5,76.2,138,76.2,76.2,76.2,76.2,64.2
56,77.9,34.8,141.2,27.8,124.6,77.9,141.2,77.9,77.9,77.9,77.9,65.9
57,79.6,35.6,144.3,28.5,128.7,79.6,144.3,79.6,79.6,79.6,79.6,67.5
58,81.3,36.3,147.5,29.2,130.9,81.3,147.5,81.3,81.3,81.3,81.3,69.2
59,83,37.1,150.6,29.9,134.1,83,150.6,83,83,83,83,70.8